nomem_encr;ci22o_m;ci22o001;ci22o002;ci22o326;ci22o003;ci22o383;ci22o005;ci22o006;ci22o007;ci22o008;ci22o009;ci22o372;ci22o373;ci22o037;ci22o038;ci22o039;ci22o040;ci22o041;ci22o042;ci22o043;ci22o044;ci22o045;ci22o046;ci22o047;ci22o049;ci22o048;ci22o050;ci22o051;ci22o052;ci22o053;ci22o054;ci22o055;ci22o059;ci22o060;ci22o061;ci22o062;ci22o065;ci22o363;ci22o067;ci22o068;ci22o069;ci22o070;ci22o364;ci22o365;ci22o076;ci22o367;ci22o080;ci22o081;ci22o084;ci22o085;ci22o100;ci22o327;ci22o087;ci22o374;ci22o090;ci22o091;ci22o092;ci22o341;ci22o094;ci22o095;ci22o096;ci22o098;ci22o099;ci22o328;ci22o329;ci22o393;ci22o101;ci22o143;ci22o330;ci22o102;ci22o103;ci22o375;ci22o376;ci22o111;ci22o368;ci22o114;ci22o115;ci22o117;ci22o118;ci22o344;ci22o125;ci22o128;ci22o129;ci22o130;ci22o135;ci22o136;ci22o140;ci22o333;ci22o336;ci22o394;ci22o144;ci22o146;ci22o147;ci22o148;ci22o149;ci22o150;ci22o151;ci22o152;ci22o153;ci22o395;ci22o154;ci22o155;ci22o156;ci22o159;ci22o160;ci22o161;ci22o162;ci22o163;ci22o164;ci22o165;ci22o166;ci22o167;ci22o168;ci22o169;ci22o170;ci22o171;ci22o172;ci22o173;ci22o174;ci22o396;ci22o397;ci22o386;ci22o387;ci22o388;ci22o389;ci22o391;ci22o392;ci22o175;ci22o176;ci22o325;ci22o177;ci22o384;ci22o385;ci22o203;ci22o204;ci22o205;ci22o206;ci22o207;ci22o208;ci22o209;ci22o210;ci22o211;ci22o212;ci22o213;ci22o214;ci22o221;ci22o222;ci22o223;ci22o224;ci22o337;ci22o226;ci22o338;ci22o339;ci22o229;ci22o236;ci22o237;ci22o238;ci22o239;ci22o240;ci22o241;ci22o242;ci22o377;ci22o378;ci22o245;ci22o246;ci22o247;ci22o248;ci22o249;ci22o250;ci22o251;ci22o252;ci22o253;ci22o254;ci22o255;ci22o379;ci22o257;ci22o258;ci22o261;ci22o380;ci22o264;ci22o265;ci22o292;ci22o293;ci22o294;ci22o295;ci22o381;ci22o299;ci22o300;ci22o301;ci22o302;ci22o303;ci22o304;ci22o382;ci22o306;ci22o307;ci22o340;ci22o309;ci22o352;ci22o353;ci22o354;ci22o355;ci22o356;ci22o313;ci22o314;ci22o315;ci22o316;ci22o317;ci22o318;ci22o319;ci22o320;ci22o321;ci22o322
818270;202206;1;74;1948;1;9;7;6;5;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;1;0;0; ; ;8000; ;7800; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;3; ;3; ;2; ; ; ; ; ;9450; ; ;13038; ;10000;2;2;2;2;2;2;4;6;0;0;0;0;0;0;1;3;2;2; ; ; ;3;4;7;3;3;1;0;0;0; ; ; ;2; ;2; ;1;3;3;1;4;3;1;5;3;5;4;3;3;3;3;27/06/2022;10:14:15;27/06/2022;10:27:39;804
818276;202207;1;74;1947;0;9;7;8;7;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;1;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;24/07/2022;23:28:07; ; ; 
818286;202206;5;16;2005;1;7;7;6;5;1;3;-8;-8;0;0;0;0;1;0;0;0;0;1;1;-9; ; ;-8; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0; ;0; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;1;-9;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-9999999;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;3;4;3;4;20/06/2022;20:55:58;20/06/2022;21:03:17;439
818338;202206;2;55;1967;1;8;7;7;4;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;1;0; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-9; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;3; ;3; ;2; ; ; ; ; ;-9999999;-9;-9999999;-9999999;-9;-8;2;2;2;2;2;2;4;4;0;1;0;0;0;0;0;4;2;2; ; ; ;3;4;7;2;4;1;0;0;0; ; ; ;2; ;2; ;1;3;2;1;1;1;1;2;5;4;1;5;5;5;5;28/06/2022;22:41:42;28/06/2022;23:01:42;1200
818353;202206;1;45;1976;1;1;9;9;8;1;1;40000; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0; ;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;3; ;2; ;2; ;1;40000; ;12;37000; ; ;55000; ;4800;2;2;2;2;2;2;5;9;0;0;0;0;0;0;1;5;3;2; ;10; ;4;3;9;3;3;1;0;0;0; ; ; ;2; ;2; ;1;1;1;1;1;1;1;1;1;2;3;4;5;5;4;07/06/2022;12:27:30;07/06/2022;12:34:52;442
818387;202206;1;48;1974;1;1;8;9;7;1;1;-9;6;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0; ;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ;-9999999;-9;50000;100000; ;4000;2;2;2;2;4;4;5;10;0;0;0;0;0;0;1;5;3;2; ;5; ;4;4;10;3;4;1;0;0;0; ; ; ;2; ;2; ;1;1;1;1;1;1;1;1;1;1;1;5;3;3;3;25/06/2022;21:14:15;25/06/2022;21:20:32;377
818438;202206;2;70;1952;1;9;7;7;5;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;0;0;0; ; ;-9;-8; ; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ;-9999998;-8;-9999998;-9999999;-8;-8;4;4;4;4;4;4;7;7;0;0;0;0;0;0;1;4;2;2; ; ; ;3;3;8;3;4;1;0;0;0; ; ; ;2; ;2; ;1;3;2;1;5;3;1;1;3;1;1;5;1;3;3;08/06/2022;08:44:28;08/06/2022;08:53:15;527
818444;202206;2;47;1975;1;8;8;8;3;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0; ;0;0; ;0;0;0;0; ; ;0;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;3; ;3; ;2; ; ; ; ; ;-9999999;-9;-9999999;-9999999;-8;-8;2;3;3;3;4;4;7;7;0;0;0;0;0;0;1;4;3;2; ; ; ;4;3;8;3;4;1;0;0;0; ; ; ;2; ;2; ;1;3;1;1;5;3;1;1;2;2;3;3;3;3;3;18/06/2022;21:22:51;18/06/2022;21:27:12;261
818448;202206;1;65;1956;1;9;8;8;6;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;0;1;0;14929; ; ; ; ; ;20155; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;264; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;1;8500;2; ; ; ; ; ;35348; ; ;42108; ;3000;4;2;4;4;4;2;2;10;0;0;0;0;0;0;1;4;3;2; ; ; ;4;4;8;3;4;1;0;0;0; ; ; ;2; ;2; ;1;1;1;1;5;1;1;5;1;1;2;5;3;3;3;06/06/2022;12:54:31;06/06/2022;13:24:48;1817
818478;202206;1;48;1973;1;1;8;8;6;1;1;65478; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0; ;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;3; ;3; ;2; ;2; ; ; ;56657; ; ;62170; ;2000;2;2;3;2;2;2;6;10;0;0;0;0;0;0;1;5;3;2; ;1; ;5;4;7;3;4;1;0;0;0; ; ; ;2; ;2; ;1;3;3;1;5;1;1;3;1;1;2;3;2;3;3;20/06/2022;14:59:49;20/06/2022;15:20:46;1257
818487;202206;2;79;1943;1;8;8;7;7;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;0;0;0; ; ;11000; ; ; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;3; ;3; ;2; ; ; ; ; ;11000; ; ;52000; ;3000;4;4;4;4;4;4;5;8;0;0;0;0;0;0;1;4;3;2; ; ; ;4;3;8;3;3;1;0;0;0; ; ; ;2; ;2; ;1;5;1;1;5;1;1;1;2;2;3;3;3;3;3;22/06/2022;15:26:56;22/06/2022;15:40:24;808
818494;202206;1;44;1977;1;1;9;9;7;1;1;49000; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0; ;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;1;-8;3; ;3; ;3; ;3; ;2; ;2; ; ; ;49000; ; ;-9999999;6;3000;2;4;2;3;4;4;7;10;0;0;0;0;0;0;1;5;3;2; ;0; ;4;2;10;3;4;1;0;0;0; ; ; ;2; ;2; ;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;28/06/2022;18:22:44;28/06/2022;18:31:23;519
818505;202206;2;62;1960;1;1;5;-9;5;1;1;-9;-9;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ;-9999999;-9;-9999999;-9999999;-9;-8;2;2;2;2;2;2;5;4;1;0;0;0;0;0;0;3;2;2; ;-9; ;-9;3;4;3;3;1;0;0;0; ; ; ;2; ;2; ;2;5;5;4;5;3;1;5;4;4;5;5;5;5;5;06/06/2022;19:04:32;06/06/2022;19:17:52;800
818508;202206;5;22;1999;0;7;7;8;-9;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0; ;0;0;0;0; ; ;0;1332; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;0;0;0;0;0;0;0;0; ; ;5028; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ; ; ; ; ;2; ; ; ; ; ;-9999999;-9;-9999999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;1;2;3;18/06/2022;15:20:55;18/06/2022;15:34:33;818
818519;202206;5;21;2001;0;7;8;8;3;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0; ;0;0;0;0; ; ;0;1332; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;1;1200; ;2; ;3; ;3; ; ; ; ; ;2; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;4;2;1;1;27/06/2022;23:43:42;27/06/2022;23:47:36;234
818530;202206;2;73;1949;1;8;7;8;5;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;0;0;0; ; ;22448; ; ; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ;13532; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;3; ;2; ;2; ; ; ; ; ;35980; ; ;-9999999;5;1500;1;2;2;2;2;2;4;6;0;0;0;0;0;0;1;4;2;2; ; ; ;2;4;7;3;4;1;0;0;0; ; ; ;2; ;2; ;1;1;3;1;5;1;1;1;1;1;1;5;4;4;4;06/06/2022;17:47:39;06/06/2022;18:17:24;1785
818533;202206;1;65;1957;1;1;8;7;3;1;1;63034; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;0;0;0;4984; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;2; ;2; ;2; ;2; ; ; ;62465; ; ;52518; ;36000;4;4;4;4;4;4;3;5;0;1;0;0;0;0;0;2;2;1; ;-9; ;3;3;8;3;4;1;0;0;0; ; ; ;2; ;2; ;1;3;5;3;5;1;1;1;2;3;1;5;3;4;4;27/06/2022;20:26:10;27/06/2022;21:12:16;2766
818569;202206;2;46;1975;1;1;7;6;5;1;1;41000; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0; ;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;1;700;3; ;3; ;3; ;3; ;1;3600;2; ; ; ;41000; ; ;45000; ;4300;2;2;2;2;4;4;4;6;0;1;0;0;0;0;0;2;1;2; ;0; ;2;4;7;3;4;1;0;0;0; ; ; ;2; ;2; ;1;2;2;2;1;2;1;1;5;5;2;5;5;5;5;17/06/2022;17:05:51;17/06/2022;17:13:34;463
818572;202206;1;48;1974;1;1;9;9;5;1;1;134974; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0; ;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;3; ;3; ;2; ;2; ; ; ;135782; ; ;205000; ;-8;2;3;3;3;4;4;5;10;0;0;0;0;0;0;1;5;3;2; ;2; ;5;4;8;3;1;1;0;0;0; ; ; ;2; ;2; ;1;1;1;1;1;1;1;1;1;1;1;5;3;3;4;28/06/2022;20:22:39;28/06/2022;20:32:54;615
818605;202206;1;34;1987;1;1;7;5;3;1;2;40000; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0; ;0;0;1;0; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1600; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;1;32900; ;1;1500; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ;40000; ; ;60000; ;4000;2;4;1;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;27/06/2022;12:59:28; ; ; 
818637;202206;1;60;1962;0;1;6;6;6;1;1;58000; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;1;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5000; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ;56000; ; ;-9999999;5;2000;4;4;4;4;4;4;5;6;0;0;0;0;0;0;1;4;3;2; ;0; ;4;2;6; ; ;1;0;0;0; ; ; ;2; ;2; ;1;1;1;1;5;1;1;5;2;2;3;3;3;3;3;22/06/2022;14:48:20;22/06/2022;14:58:32;612
818639;202206;5;18;2004;1;1;7;6;8;1;2;3000; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0; ;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;1;700; ;2; ;3; ;3; ; ; ; ; ;2; ;2; ; ; ;2706; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;4;5;4;4;27/06/2022;19:47:51;27/06/2022;20:12:45;1494
818676;202206;1;76;1945;0;9;8;8;7;2; ; ; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;1;0;0;0; ; ;16000; ; ; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;3; ;3; ;2; ; ; ; ; ;16000; ; ;15000; ;1000;2;2;2;2;2;2;5;8;0;0;0;0;0;0;1;4;3;2; ; ; ;4;3;8; ; ;1;0;0;0; ; ; ;2; ;2; ;3;3;3;3;5;3;3;1;1;1;3;2;1;1;3;07/06/2022;15:19:50;27/06/2022;22:08:31;1752521
818705;202206;1;63;1958;1;1;7;7;5;1;1;6800; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;1;-8;2; ;2; ;2; ;2; ;2; ;1;40000; ;12;-9999998;-8;-9999998;-9999999;-8;-8;2;2;2;2;2;2;5;7;0;0;0;0;0;0;1;4;2;2; ;0; ;3;3;7;3;4;1;0;0;0; ; ; ;2; ;2; ;1;1;1;1;5;1;1;1;4;5;3;3;3;3;3;20/06/2022;15:37:31;20/06/2022;15:45:29;478
818710;202206;1;31;1990;0;13;7;7;-9;1;1;-9;1;1;0;0;0;0;0;0;0;0;2; ; ;2;-9;-9; ; ; ; ;1;2;-9;-9; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0; ;1;0; ;0;0;0;0; ; ;0;-9; ; ; ; ; ; ; ; ; ; ; ;-9; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;0;0;0;2; ; ;2; ; ;2; ;2; ;2; ;3; ;3; ;2; ;2; ; ; ;-9999999;-9;-9999999;-9999999;-9;-8;4;4;4;4;4;4;8;8;0;0;0;0;0;0;1;5;3;2; ; ; ;5;3;7; ; ;1;0;0;0; ; ; ;2; ;2; ;5;1;4;5;1;5;5;5;1;1;1;5;5;5;5;23/06/2022;19:02:34;23/06/2022;19:07:46;312
818725;202206;5;22;1999;1;7;7;5;6;1;1;-8;2;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0; ;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ; ; ; ; ;2; ;2; ; ; ;-9999998;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;5;5;5;08/06/2022;20:03:52;08/06/2022;20:08:07;255
818734;202207;1;52;1970;1;1;7;7;5;1;1;83545; ;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;1;0; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-9; ; ; ;0;0;0;0;0;0;0;0;0;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;2; ; ;2; ; ;2; ;3; ;3; ;3; ;3; ;2; ;2; ; ; ;75429; ; ;55000; ;3500;2;2;3;3;2;2;6;7;0;0;0;0;0;0;1;4;2;2; ;2; ;3;4;7;3;3;1;0;0;0; ; ; ;2; ;2; ;1;1;1;1;1;1;1;1;2;2;1;4;4;4;4;26/07/2022;11:23:31;26/07/2022;11:30:25;414
818771;202206;1;53;1968;1;1;9;9;6;1;2;100000; ;0;1;0;0;0;0;0;0;0;1;1;14000; ; ; ; ; ; ; ;1;1;10000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0; ;0;0;0;0;0;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;5000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ;1;6000; ;2; ; ;2; ;2; ;2; ;3; ;1;3000;2; ;2; ; ; ;80000; ; ;5000; ;2500;2;4;2;4;4;4;5;8;0;0;0;0;0;0;1;4;2;1; ;25; ;4;3;9;3;4;1;0;0;0; ; ; ;2; ;2; ;4;1;5;1;5;1;1;5;1;1;1;4;3;3;3;24/06/2022;14:45:33;24/06/2022;14:55:38;605
